type,body,option_a,option_b,option_c,option_d,correct,points,explanation
single_choice,"Jak se nazývá odchod lidí z domovské země?","Imigrace","Emigrace","Urbanizace","Suburbanizace","b",1,"Emigrace znamená odchod z domovské země."
single_choice,"Jak se nazývá příchod lidí do nové země?","Imigrace","Emigrace","Migrace","Deurbanizace","a",1,"Imigrace je příchod do nové země."
single_choice,"Co je podle učiva nelegální migrace?","Stěhování mezi městy","Vstup do jiné země bez cestovních dokladů","Odchod z venkova do města","Přesun v rámci jednoho státu","b",1,"Nelegální migrace je vstup do jiné země bez cestovních dokladů."
multiple_choice,"Které patří mezi hlavní důvody migrace?","Ekonomické","Sociální","Politické","Astronomické","a,b,c",2,"Mezi důvody migrace patří ekonomické, sociální i politické faktory."
single_choice,"Který pojem označuje člověka, který utíká před válkou, nesvobodou nebo pronásledováním?","Migrant","Uprchlík","Turista","Občan","b",1,"Uprchlík odchází nedobrovolně."
multiple_choice,"Které mohou být pozitivní dopady migrace?","Nová pracovní síla","Kulturní obohacení","Možné sociální napětí","Ztráta mozků","a,b",2,"Pozitivní dopady migrace jsou například nová pracovní síla a kulturní obohacení."
single_choice,"Co je národnostní menšina?","Skupina lidí se stejným příjmem","Skupina lidí s odlišnou kulturou, jazykem nebo původem než většina obyvatel","Skupina lidí žijící jen na venkově","Skupina turistů","b",1,"Národnostní menšina má odlišnou kulturu, jazyk nebo původ než většina obyvatel."
multiple_choice,"Které skupiny jsou uvedeny jako národnostní menšiny v ČR?","Slováci","Ukrajinci","Vietnamci","Romové","a,b,c,d",2,"V učivu jsou uvedeni Slováci, Ukrajinci, Vietnamci a Romové."
multiple_choice,"Co nám přinášejí národnostní menšiny?","Kulturní rozmanitost","Tradice","Gastronomii","Různé zvyky","a,b,c,d",2,"Menšiny přinášejí kulturní rozmanitost, tradice, gastronomii i zvyky."
single_choice,"Která věková skupina je podle učiva ekonomicky aktivní?","0–14 let","15–64 let","65+ let","80+ let","b",1,"Ekonomicky aktivní jsou obyvatelé ve věku 15–64 let."
